code,lenght (cm),width (cm),height (cm),volum (m3),weight (kg),inventory (units)
2437,30,5,5,0.00075,0.035,5
2438,30,5,9,0.00135,0.05,2
2439,59,10,10,0.0059,0.04,2
2440,17,17,15,0.004335,0.165,1
2441,16,16,15,0.00384,0.18,0
2442,81,32,9,0.023328,3.55,2
2443,80,31,17,0.04216,3.5,2
2444,46,15,4,0.00276,1.65,3
2445,66,30,17,0.03366,3.75,1
2446,45,16,16,0.01152,3.9,1
2447,76,30,18,0.04104,3.55,1
2448,52,15,15,0.0117,3.3,1
2449,76,5,11,0.00418,3.8,0
2450,6,5,6,0.00018,0.08,0
2451,49,17,17,0.014161,3.75,1
2452,9,4,1,0.000036,0.001,8
2453,14,8,11,0.001232,0.08,6
2454,38,6,6,0.001368,0.075,2
2455,30,10,6,0.0018,0.105,1
2456,19,9,7,0.001197,0.075,2
2457,25,9,7,0.001575,0.08,9
2458,52,10,9,0.00468,2,0
2459,12,10,15,0.0018,0.4,0
2460,12,10,15,0.0018,0.4,2
2461,5,5,5,0.000125,0.005,1
2462,14,10,19,0.00266,0.105,1
2463,30,18,6,0.00324,0.055,2
2464,37,5,5,0.000925,0.045,1
2465,21,8,3,0.000504,0.7,14
2466,2,2,2,0.000008,0.001,1
2467,94,12,8,0.009024,4.1,0
2468,14,7,8,0.000784,0.06,4
2469,8,10,13,0.00104,0.05,3
2470,28,20,1,0.00056,0.01,4
2471,14,9,30,0.00378,0.3,0
2472,33,30,6,0.00594,0.265,15
2473,30,10,5,0.0015,0.5,0
2474,75,16,6,0.0072,0.26,8
2475,4,3,7,0.000084,0.015,1
2476,65,8,6,0.00312,0.23,10
2477,35,12,6,0.00252,0.145,3
2478,14,8,7,0.000784,0.02,1
2479,14,8,8,0.000896,0.115,91
2480,23,8,8,0.001472,0.02,1
2481,40,32,7,0.00896,0.31,2
2482,30,34,8,0.00816,3.08,1
2483,49,44,8,0.017248,2.15,1
2484,35,5,5,0.000875,1,2
2485,16,8,5,0.00064,0.075,7
2486,18,13,9,0.002106,0.12,10
2487,17,13,13,0.002873,0.16,11
2488,17,14,14,0.003332,2.65,7
2489,23,10,16,0.00368,0.35,4
2490,5,5,6,0.00015,0.01,4
2491,35,5,5,0.000875,0.4,0
2492,35,5,5,0.000875,0.4,6
2493,52,5,5,0.0013,1.49,5
2494,128,25,3,0.0096,0.51,7
2495,36,10,4,0.00144,0.055,5
2496,62,18,5,0.00558,2.05,4
2497,86,7,3,0.001806,4.4,3
2498,90,14,9,0.01134,5,15
2499,25,15,10,0.00375,1.1,0
2500,25,15,10,0.00375,1.1,25
2501,129,7,12,0.010836,6.1,6
2502,40,10,10,0.004,1.8,0
2503,40,10,10,0.004,1.8,0
2504,25,6,2,0.0003,0.13,7
2505,45,15,5,0.003375,1.5,0
2506,45,15,5,0.003375,1.5,7
2507,6,33,32,0.006336,0.765,31
2508,34,35,10,0.0119,0.785,1
2509,16,16,15,0.00384,0.485,5
2510,25,20,20,0.01,5,0
2511,11,9,2,0.000198,0.005,3
2512,20,20,15,0.006,5,4
2513,20,20,15,0.006,0.505,5
2514,36,30,20,0.0216,1.015,5
2515,6,6,1,0.000036,0.2,0
2516,7,5,10,0.00035,0.005,1
2517,22,18,18,0.007128,0.575,2
2518,19,20,14,0.00532,5.6,2
2519,18,18,18,0.005832,0.565,1
2520,20,20,14,0.0056,0.565,2
2521,46,16,6,0.004416,1.65,4
2522,50,7,7,0.00245,1.65,2
2523,69,15,15,0.015525,2.6,1
2524,50,7,7,0.00245,1.8,7
2525,36,6,6,0.001296,1.6,2
2526,40,7,7,0.00196,1.9,2
2527,8,8,2,0.000128,0.2,6
2528,8,8,3,0.000192,0.005,0
2529,47,17,6,0.004794,0.5,0
2530,30,4,4,0.00048,0.045,5
2531,9,20,68,0.01224,0.685,2
2532,75,70,25,0.13125,4,3
2533,35,35,35,0.042875,0.5,0
2534,37,5,5,0.000925,0.03,2
2535,28,10,8,0.00224,0.11,9
2536,9,4,9,0.000324,0.001,5
2537,88,17,69,0.103224,6.35,9
2538,110,40,20,0.088,6.4,0
2539,86,63,14,0.075852,5.5,0
2540,83,65,15,0.080925,0.57,0
2541,83,15,60,0.0747,7,19
2542,6,5,7,0.00021,0.045,1
2543,10,10,8,0.0008,0.05,2
2544,35,10,10,0.0035,0.7,0
2545,958,13,10,0.12454,4,2
2546,45,10,5,0.00225,1.8,3
2547,50,8,5,0.002,0.25,1
2548,44,18,1,0.000792,0.11,4
2549,30,5,5,0.00075,0.045,42
2550,48,6,5,0.00144,0.205,14
2551,30,17,3,0.00153,0.03,29
2552,60,10,10,0.006,3,8
2553,10,2,2,0.00004,0.01,4
2554,62,86,10,0.05332,6.3,7
2555,13,10,5,0.00065,0.035,3
2556,8,10,14,0.00112,0.4,5
2557,25,10,10,0.0025,0.5,2
2558,10,8,5,0.0004,0.01,2
2559,40,10,10,0.004,1.2,4
2560,9,9,2,0.000162,0.105,0
2561,50,9,5,0.00225,0.21,3
2562,5,7,6,0.00021,0.021,6
2563,9,10,5,0.00045,0.1,2
2564,54,18,2,0.001944,0.05,2
2565,35,35,13,0.015925,3.6,0
2566,6,5,5,0.00015,0.001,4
2567,58,46,7,0.018676,1.16,8
2568,51,24,4,0.004896,11.45,2
2569,12,10,15,0.0018,0.4,0
2570,12,10,15,0.0018,0.4,26
2571,31,13,4,0.001612,0.45,0
2572,60,12,4,0.00288,0.295,14
2573,5,8,8,0.00032,0.01,2
2574,10,10,5,0.0005,0.7,7
2575,12,10,15,0.0018,0.4,0
2576,16,10,7,0.00112,0.07,9
2577,50,10,10,0.005,1.2,9
2578,28,10,3,0.00084,0.11,5
2579,24,8,8,0.001536,0.046,16
2580,80,40,10,0.032,6.65,12
2581,8,9,8,0.000576,0.07,3
2582,33,34,6,0.006732,7.5,14
2583,33,35,8,0.00924,0.82,36
2584,19,20,15,0.0057,2.17,0
2585,20,14,20,0.0056,4.1,0
2586,7,6,7,0.000294,0.02,13
2587,15,10,8,0.0012,0.3,1
2588,35,10,10,0.0035,0.7,4
2589,9,6,4,0.000216,0.005,2
2590,27,3,3,0.000243,0.045,5
2591,58,12,5,0.00348,0.18,4
2592,70,17,7,0.00833,2.3,0
2593,70,70,15,0.0735,6.5,0
2594,65,65,15,0.063375,6.5,0
2595,61,10,18,0.01098,4.05,0
2596,61,18,19,0.020862,4,1
2597,10,10,10,0.001,0.2,0
2598,8,10,13,0.00104,0.27,2
2599,50,40,15,0.03,4,26
2600,33,33,11,0.011979,6,0
2601,31,31,8,0.007688,1.58,5
2602,20,21,14,0.00588,0.555,29
2603,15,10,5,0.00075,0.2,11
2604,53,33,12,0.020988,1.12,2
2605,23,22,16,0.008096,0.665,0
2606,20,20,15,0.006,7,4
2607,20,20,15,0.006,6.7,0
2608,19,20,14,0.00532,0.65,6
2609,30,10,6,0.0018,0.06,1
2610,35,10,51,0.01785,0.52,4
2611,6,5,6,0.00018,0.001,2
2612,12,10,15,0.0018,0.4,0
2613,20,10,1,0.0002,0.001,1
2614,60,45,5,0.0135,1.05,26
2615,55,13,2,0.00143,0.07,5
2616,30,30,3,0.0027,0.735,1
2617,50,10,6,0.003,0.09,1
2618,25,15,10,0.00375,0.8,0
2619,25,15,10,0.00375,0.8,4
2620,10,8,7,0.00056,0.25,2
2621,34,30,12,0.01224,1.6,14
2622,52,7,43,0.015652,0.215,3
2623,50,40,15,0.03,4,2
2624,60,15,10,0.009,2.4,0
2625,50,7,6,0.0021,2.3,2
2626,24,12,10,0.00288,0.105,6
2627,20,12,5,0.0012,0.015,0
2628,20,19,5,0.0019,0.3,36
2629,40,27,2,0.00216,0.1,1
2630,45,32,2,0.00288,0.15,0
2631,34,33,9,0.010098,4.1,10
2632,20,20,15,0.006,5,7
2633,75,59,12,0.0531,0.985,10
2634,60,40,8,0.0192,0.945,17
2635,15,15,5,0.001125,0.2,0
2636,20,20,15,0.006,0.57,10
2637,6,6,6,0.000216,0.001,7
2638,20,14,13,0.00364,0.05,1
2639,54,4,2,0.000432,1.1,10
2640,7,6,5,0.00021,0.03,1
2641,10,2,2,0.00004,0.01,1
2642,20,20,5,0.002,0.3,5
2643,19,18,2,0.000684,0.03,1
2644,40,30,3,0.0036,0.07,8
2645,14,9,7,0.000882,0.32,0
2646,25,24,23,0.0138,0.011,8
2647,25,25,25,0.015625,1.1,0
2648,24,24,17,0.009792,1.105,1
2649,167,27,14,0.063126,18.85,0
2650,170,15,20,0.051,20,10
2651,170,26,14,0.06188,20,3
2652,20,20,25,0.01,5.8,0
2653,20,20,25,0.01,5.8,9
2654,14,12,7,0.001176,0.15,6
2655,14,15,9,0.00189,0.15,1
2656,43,8,5,0.00172,1.075,18
2657,43,8,5,0.00172,1.075,9
2658,60,17,4,0.00408,0.105,6
2659,9,3,2,0.000054,0.1,6
2660,47,38,15,0.02679,4,6
2661,65,50,15,0.04875,13,3
2662,22,4,4,0.000352,0.495,3
2663,53,9,9,0.004293,0.21,3
2664,20,10,6,0.0012,1,3
2665,20,10,6,0.0012,1.1,0
2666,8,5,1,0.00004,0.001,7
2667,15,9,9,0.001215,0.44,0
2668,20,10,10,0.002,0.5,54
2669,10,5,5,0.00025,0.1,4
2670,15,9,6,0.00081,0.15,7
2671,33,32,10,0.01056,1.58,11
2672,30,30,10,0.009,6,0
2673,40,10,5,0.002,0.9,0
2674,20,9,10,0.0018,0.55,22
2675,40,20,18,0.0144,0.18,1
2676,12,15,8,0.00144,0.055,4
2677,16,16,12,0.003072,0.115,1
2678,4,3,7,0.000084,0.005,3
2679,20,20,10,0.004,0.265,0
2680,38,18,37,0.025308,12.35,9
2681,16,5,5,0.0004,0.015,5
2682,10,6,5,0.0003,0.2,0
2683,12,14,2,0.000336,0.015,2
2684,12,10,3,0.00036,0.005,1
2685,64,39,1,0.002496,0.25,2
2686,59,30,3,0.00531,0.025,4
2687,15,3,3,0.000135,0.002,2
2688,6,6,3,0.000108,0.1,0
2689,8,4,15,0.00048,0.002,2
2690,15,7,3,0.000315,0.025,1
2691,20,9,8,0.00144,0.025,0
2692,14,12,2,0.000336,0.005,1
2693,10,8,5,0.0004,0.2,0
2694,10,7,7,0.00049,0.01,3
2695,25,20,5,0.0025,0.2,0
2696,25,20,5,0.0025,0.2,0
2697,7,4,7,0.000196,0.005,1
2698,6,4,4,0.000096,0.05,5
2699,7,4,2,0.000056,0.1,6
2700,15,15,5,0.001125,0.2,3
2701,4,5,7,0.00014,0.005,3
2702,7,4,3,0.000084,0.005,6
2703,9,9,3,0.000243,0.025,2
2704,14,9,7,0.000882,0.02,3
2705,15,10,5,0.00075,0.3,4
2706,14,12,8,0.001344,0.74,0
2707,5,5,8,0.0002,0.055,7
2708,39,6,5,0.00117,0.6,1
2709,10,15,5,0.00075,0.005,2
2710,38,36,16,0.021888,1.89,2
2711,34,28,9,0.008568,0.155,5
2712,26,4,26,0.002704,0.495,1
2713,24,12,11,0.003168,0.04,4
2714,8,8,3,0.000192,0.007,1
2715,10,10,45,0.0045,1.4,5
2716,16,9,9,0.001296,0.06,16
2717,8,8,5,0.00032,0.1,49
2718,7,7,3,0.000147,0.01,55
2719,10,10,5,0.0005,0.15,33
2720,46,19,2,0.001748,0.025,5
2721,10,10,10,0.001,0.4,299
2722,10,10,10,0.001,0.4,271
2723,20,20,10,0.004,0.4,2
2724,8,3,27,0.000648,0.02,0
2725,6,8,1,0.000048,0.001,4
2726,17,14,2,0.000476,0.005,4
2727,21,10,2,0.00042,0.1,0
2728,50,40,15,0.03,4,6
2729,36,29,12,0.012528,2.45,66
2730,14,8,7,0.000784,0.75,1
2731,58,48,4,0.011136,1.15,12
2732,48,48,10,0.02304,11.5,3
2733,25,25,25,0.015625,1.2,0
2734,14,13,4,0.000728,0.07,1
2735,11,13,9,0.001287,0.075,18
2736,52,9,7,0.003276,0.155,2
2737,70,15,15,0.01575,2.2,4
2738,60,7,6,0.00252,0.185,58
2739,40,40,6,0.0096,3,8
2740,40,40,6,0.0096,3,2
2741,10,5,5,0.00025,0.2,0
2742,10,5,5,0.00025,0.2,0
2743,25,15,10,0.00375,0.7,8
2744,60,6,6,0.00216,0.21,28
2745,56,7,7,0.002744,2.215,2
2746,66,6,6,0.002376,3.2,0
2747,26,26,15,0.01014,2.15,1
2748,22,28,23,0.014168,0.245,3
2749,55,34,17,0.03179,0.135,1
2750,56,28,18,0.028224,0.24,3
2751,56,28,22,0.034496,0.295,2
2752,17,17,15,0.004335,0.045,1
2753,16,17,15,0.00408,0.04,1
2754,50,10,5,0.0025,0.3,1
2755,6,4,4,0.000096,0.005,3
2756,36,36,10,0.01296,0.013,4
2757,12,11,3,0.000396,0.2,1
2758,5,5,7,0.000175,0.005,2
2759,11,12,4,0.000528,0.035,5
2760,10,5,5,0.00025,0.2,1
2761,51,37,4,0.007548,0.03,23
2762,35,10,5,0.00175,0.03,98
2763,16,16,8,0.002048,0.095,1
2764,61,28,7,0.011956,0.04,3
2765,65,30,10,0.0195,0.3,0
2766,19,12,14,0.003192,0.03,5
2767,10,10,10,0.001,1.8,2
2768,18,10,11,0.00198,0.35,0
2769,14,14,6,0.001176,0.03,4
2770,50,13,1,0.00065,0.01,8
2771,60,15,1,0.0009,0.025,5
2772,20,10,10,0.002,0.3,0
2773,15,5,2,0.00015,0.005,52
2774,30,25,5,0.00375,0.2,0
2775,27,27,5,0.003645,0.04,48
2776,20,20,15,0.006,4.15,0
2777,8,8,8,0.000512,0.001,2
2778,8,8,1,0.000064,0.001,4
2779,67,20,4,0.00536,0.04,0
2780,80,40,5,0.016,0.8,4
2781,4,2,2,0.000016,0.005,19
2782,5,5,9,0.000225,0.015,31
2783,6,9,9,0.000486,0.03,9
2784,18,13,9,0.002106,0.09,3
2785,62,27,10,0.01674,0.05,3
2786,16,19,5,0.00152,0.07,1
2787,12,4,4,0.000192,0.005,0
2788,14,12,1,0.000168,0.001,0
2789,14,12,13,0.002184,0.04,22
2790,59,22,1,0.001298,0.03,9
2791,1,3,3,0.000009,0.01,13
2792,3,2,2,0.000012,0.01,6
2793,2,1,1,0.000002,0.001,13
2794,5,6,1,0.00003,0.1,1
2795,27,8,2,0.000432,0.02,5
2796,17,17,16,0.004624,0.13,8
2797,20,20,15,0.006,1.3,4
2798,38,9,1,0.000342,0.005,1
2799,26,2,8,0.000416,0.025,3
2800,16,16,8,0.002048,0.09,7
2801,32,9,3,0.000864,0.025,2
2802,56,15,3,0.00252,0.025,0
2803,40,10,5,0.002,0.3,4
2804,38,9,3,0.001026,0.025,1
2805,62,22,2,0.002728,0.3,0
2806,23,8,3,0.000552,0.025,2
2807,36,24,9,0.007776,0.09,1
2808,13,5,5,0.000325,0.01,6
2809,16,7,1,0.000112,0.005,4
2810,8,3,3,0.000072,0.01,29
2811,72,19,1,0.001368,0.55,0
2812,70,30,1,0.0021,0.04,7
2813,7,4,7,0.000196,0.005,0
2814,16,16,8,0.002048,0.035,1
2815,30,8,2,0.00048,0.23,3
2816,23,8,3,0.000552,0.035,4
2817,27,9,3,0.000729,0.1,0
2818,30,9,2,0.00054,0.02,1
2819,13,8,7,0.000728,0.1,0
2820,16,16,8,0.002048,0.03,0
2821,28,29,3,0.002436,0.02,0
2822,40,10,5,0.002,0.3,6
2823,30,10,5,0.0015,0.2,0
2824,34,9,3,0.000918,0.02,4
2825,33,16,1,0.000528,0.01,0
2826,33,13,1,0.000429,0.001,4
2827,43,15,1,0.000645,0.005,8
2828,17,9,10,0.00153,0.025,6
2829,38,7,6,0.001596,0.06,3
2830,36,30,1,0.00108,0.02,12
2831,59,23,1,0.001357,0.035,4
2832,60,30,1,0.0018,0.025,16
2833,56,24,6,0.008064,1.25,1
2834,63,32,8,0.016128,0.145,1
2835,24,14,8,0.002688,0.035,8
2836,7,5,9,0.000315,0.01,42
2837,18,6,6,0.000648,0.1,6
2838,15,7,4,0.00042,0.1,21
2839,80,20,5,0.008,0.4,4
2840,10,6,4,0.00024,0.025,1
2841,12,1,1,0.000012,0.005,1
2842,13,17,1,0.000221,0.005,7
2843,20,15,15,0.0045,1.5,3
2844,55,50,5,0.01375,0.1,0
2845,10,10,10,0.001,0.015,4
2846,60,30,1,0.0018,0.02,6
2847,60,30,5,0.009,0.2,21
2848,50,25,5,0.00625,0.9,0
2849,53,29,3,0.004611,0.085,15
2850,5,2,2,0.00002,0.005,36
2851,10,5,5,0.00025,0.1,0
2852,10,7,10,0.0007,0.003,0
2853,5,6,9,0.00027,0.3,0
2854,25,10,5,0.00125,0.03,0
2855,5,6,9,0.00027,0.3,5
2856,9,9,1,0.000081,0.005,1
2857,10,1,17,0.00017,0.005,2
2858,56,30,20,0.0336,4.8,1
2859,33,24,7,0.005544,0.225,3
2860,8,8,1,0.000064,0.2,0
2861,50,22,1,0.0011,0.03,2
2862,29,18,13,0.006786,0.145,4
2863,23,14,1,0.000322,0.079,0
2864,10,10,2,0.0002,0.02,6
2865,20,10,1,0.0002,0.065,0
2866,10,9,1,0.00009,0.005,1
2867,50,22,3,0.0033,0.485,12
2868,21,2,2,0.000084,0.005,1
2869,3,3,2,0.000018,0.001,78
2870,5,5,5,0.000125,0.1,99
2871,1,6,3,0.000018,0.01,32
2872,10,10,5,0.0005,0.01,4
2873,19,13,1,0.000247,0.005,2
2874,5,1,4,0.00002,0.001,6
2875,40,31,20,0.0248,0.335,3
2876,8,1,1,0.000008,0.001,0
2877,20,20,20,0.008,0.245,3
2878,32,21,19,0.012768,0.235,38
2879,10,8,3,0.00024,0.01,2
2880,7,6,5,0.00021,0.005,2
2881,53,28,3,0.004452,0.5,3
2882,65,30,5,0.00975,0.5,1
2883,53,28,3,0.004452,0.04,0
2884,60,26,1,0.00156,0.035,1
2885,10,5,5,0.00025,0.3,2
2886,10,16,4,0.00064,0.01,1
2887,10,6,4,0.00024,0.005,3
2888,6,6,6,0.000216,0.001,3
2889,10,7,5,0.00035,0.2,0
2890,10,6,4,0.00024,0.015,0
2891,13,6,2,0.000156,0.001,15
2892,11,20,9,0.00198,0.13,2
2893,17,18,15,0.00459,1.15,7
2894,21,13,10,0.00273,0.125,12
2895,20,20,12,0.0048,0.15,11
2896,20,9,3,0.00054,0.025,5
2897,28,9,25,0.0063,0.02,1
2898,10,6,5,0.0003,0.2,0
2899,33,9,2,0.000594,0.02,1
2900,35,10,5,0.00175,0.3,9
2901,36,25,5,0.0045,0.9,0
2902,36,25,5,0.0045,0.9,0
2903,22,22,6,0.002904,0.035,11
2904,24,22,5,0.00264,0.03,23
2905,5,7,9,0.000315,0.005,2
2906,9,8,2,0.000144,0.005,6
2907,27,19,3,0.001539,0.02,7
2908,36,9,3,0.000972,0.2,12
2909,18,10,7,0.00126,0.2,0
2910,17,16,8,0.002176,0.04,1
2911,21,20,10,0.0042,0.005,3
2912,53,15,1,0.000795,0.01,2
2913,40,10,5,0.002,0.1,0
2914,45,15,1,0.000675,0.015,14
2915,28,25,13,0.0091,0.8,0
2916,28,25,13,0.0091,0.8,0
2917,17,11,10,0.00187,0.95,1
2918,20,15,3,0.0009,0.2,6
2919,29,10,2,0.00058,0.03,10
2920,7,7,7,0.000343,0.005,4
2921,29,26,29,0.021866,0.095,13
2922,26,12,29,0.009048,0.2,22
2923,30,20,5,0.003,0.1,1
2924,20,15,5,0.0015,0.1,1
2925,15,10,2,0.0003,0.1,3
2926,60,30,30,0.054,2.7,0
2927,63,31,30,0.05859,3.3,3
2928,35,30,25,0.02625,2,0
2929,35,30,25,0.02625,2,7
2930,35,30,25,0.02625,2,4
2931,160,50,30,0.24,1.5,3
2932,160,50,30,0.24,1.5,21
2933,150,40,15,0.09,0.8,5
2934,150,40,20,0.12,0.3,8
2935,33,30,24,0.02376,1.64,0
2936,45,35,15,0.023625,2,0
2937,45,35,15,0.023625,2,6
2938,55,15,5,0.004125,0.8,10
2939,30,16,4,0.00192,0.45,6
2940,40,40,6,0.0096,3,2
2941,40,40,6,0.0096,3,4
2942,40,40,6,0.0096,3,2
2943,60,40,10,0.024,4.5,1
2944,60,40,10,0.024,4.5,2
2945,60,40,10,0.024,6.3,1
2946,40,40,6,0.0096,3,1
2947,40,40,6,0.0096,3,2
2948,40,40,6,0.0096,3,2
2949,,40,40,0,0.006,0
2950,60,40,10,0.024,6.3,1
2951,,12,10,0,0.015,0
2952,12,10,15,0.0018,0.4,3
2953,12,10,15,0.0018,0.4,2
2954,12,10,15,0.0018,0.4,2
2955,12,10,15,0.0018,0.4,1
2956,5,5,8,0.0002,0.1,4
2957,17,18,4,0.001224,0.02,1
2958,35,35,3,0.003675,0.025,4
2959,59,29,13,0.022243,0.35,1
2960,73,6,1,0.000438,0.085,2
2961,79,8,1,0.000632,0.15,2
2962,17,18,15,0.00459,0.17,1
2963,19,19,13,0.004693,1.45,5
2964,30,10,5,0.0015,0.2,0
2965,31,10,8,0.00248,0.4,2
2966,27,6,6,0.000972,0.3,0
2967,80,53,15,0.0636,5.005,3
2968,83,24,75,0.1494,5.9,0
2969,90,80,30,0.216,4,0
2970,83,61,20,0.10126,4.25,13
2971,92,68,11,0.068816,4.9,7
2972,40,5,4,0.0008,0.04,0
2973,40,4,4,0.00064,0.045,5
2974,69,16,12,0.013248,0.9,8
2975,80,20,5,0.008,0.085,0
2976,17,17,15,0.004335,0.035,5
2977,50,50,10,0.025,0.9,0
2978,81,61,17,0.083997,7.92,9
2979,38,22,2,0.001672,0.085,3
2980,19,18,10,0.00342,0.04,3
2981,30,20,20,0.012,0.07,2
2982,17,17,15,0.004335,0.085,4
2983,40,23,25,0.023,1.725,0
2984,50,30,25,0.0375,3,6
2985,32,22,14,0.009856,0.7,4
2986,32,22,14,0.009856,0.7,6
2987,24,15,24,0.00864,0.08,7
2988,30,30,20,0.018,0.8,0
2989,17,17,15,0.004335,0.065,2
2990,26,10,8,0.00208,0.025,4
2991,26,10,8,0.00208,0.025,5
2992,20,12,4,0.00096,0.005,2
2993,50,25,20,0.025,1,0
2994,50,25,20,0.025,1,0
2995,28,17,3,0.001428,0.085,1
2996,5,4,4,0.00008,0.005,1
2997,50,2,2,0.0002,0.02,1
2998,60,37,10,0.0222,0.88,0
2999,25,20,10,0.005,1.6,0
3000,85,65,25,0.138125,8,2
3001,147,16,15,0.03528,1.65,4
3002,49,5,5,0.001225,0.4,2
3003,17,17,15,0.004335,0.135,1
3004,26,25,14,0.0091,0.003,4
3005,93,93,18,0.155682,0.01,12
3006,90,65,9,0.05265,8.7,4
3007,40,18,17,0.01224,0.115,1
3008,26,16,16,0.006656,0.185,2
3009,21,3,5,0.000315,0.02,1
3010,54,4,4,0.000864,0.05,1
3011,24,13,8,0.002496,0.03,1
3012,60,8,3,0.00144,0.055,6
3013,18,10,10,0.0018,0.06,1
3014,35,20,15,0.0105,1,0
3015,35,20,15,0.0105,1,10
3016,13,9,5,0.000585,0.02,2
3017,12,9,9,0.000972,0.06,4
3018,13,12,16,0.002496,0.25,4
3019,13,13,16,0.002704,0.25,2
3020,12,12,12,0.001728,0.21,0
3021,25,15,5,0.001875,0.1,2
3022,50,20,20,0.02,1.2,5
3023,45,25,15,0.016875,1,1
3024,50,30,30,0.045,2.5,0
3025,50,30,25,0.0375,2.5,4
3026,20,20,20,0.008,0.5,0
3027,19,17,19,0.006137,0.55,4
3028,30,22,16,0.01056,0.085,1
3029,35,25,20,0.0175,2,11
3030,32,16,22,0.011264,0.009,1
3031,35,25,20,0.0175,2,8
3032,46,32,27,0.039744,2.55,3
3033,50,35,26,0.0455,3,5
3034,46,32,27,0.039744,2.55,3
3035,50,35,26,0.0455,3,0
3036,40,48,26,0.04992,0.135,1
3037,40,18,26,0.01872,0.135,2
3038,180,55,40,0.396,7,1
3039,140,55,13,0.1001,1.7,0
3040,20,10,5,0.001,0.1,3
3041,15,15,5,0.001125,0.1,0
3042,45,33,22,0.03267,0.28,1
3043,41,35,28,0.04018,2.9,0
3044,120,40,20,0.096,3.2,0
3045,126,45,15,0.08505,0.335,1
3046,66,36,32,0.076032,3.95,1
3047,67,37,33,0.081807,3.9,0
3048,204,70,34,0.48552,17,3
3049,50,35,25,0.04375,3,0
3050,50,35,25,0.04375,2.8,0
3051,25,15,15,0.005625,0.075,0
3052,25,16,10,0.004,0.08,0
3053,37,37,16,0.021904,0.13,7
3054,37,36,16,0.021312,1.38,3
3055,31,18,28,0.015624,0.001,2
3056,35,130,13,0.05915,3.115,6
3057,35,28,18,0.01764,0.95,0
3058,34,18,27,0.016524,0.95,0
3059,35,35,5,0.006125,0.8,0
3060,35,35,5,0.006125,0.8,16
3061,10,10,10,0.001,0.1,12
3062,10,10,10,0.001,0.1,0
3063,5,4,5,0.0001,0.001,33
3064,5,5,5,0.000125,0.5,0
3065,24,14,10,0.00336,0.25,2
3066,25,16,16,0.0064,0.03,2
3067,30,17,22,0.01122,0.08,2
3068,30,16,22,0.01056,0.145,1
3069,65,35,29,0.065975,4.45,2
3070,76,3,3,0.000684,0.06,2
3071,60,3,3,0.00054,0.04,4
3072,90,21,69,0.13041,6.2,0
3073,100,75,35,0.2625,4,0
3074,100,22,71,0.1562,6,0
3075,68,20,6,0.00816,0.925,0
3076,40,6,3,0.00072,0.25,0
3077,8,8,3,0.000192,0.1,6
3078,75,52,8,0.0312,4.2,2
3079,30,43,8,0.01032,0.085,1
3080,42,6,5,0.00126,0.2,2
3081,50,15,5,0.00375,0.7,7
3082,48,5,3,0.00072,0.85,6
3083,37,24,10,0.00888,0.165,1
3084,29,20,23,0.01334,0.095,5
3085,30,25,25,0.01875,0.9,1
3086,20,10,14,0.0028,0.055,3
3087,39,28,16,0.017472,0.16,2
3088,15,10,5,0.00075,0.1,2
3089,44,7,2,0.000616,0.055,2
3090,35,25,20,0.0175,1.5,2
3091,98,28,1,0.002744,0.045,2
3092,34,145,10,0.0493,2.15,1
3093,34,28,16,0.015232,0.155,1
3094,30,15,1,0.00045,0.01,2
3095,30,20,7,0.0042,0.15,10
3096,28,5,2,0.00028,0.02,8
3097,14,14,10,0.00196,0.08,1
3098,76,40,2,0.00608,0.04,1
3099,70,40,1,0.0028,0.025,2
3100,50,10,5,0.0025,0.1,1
3101,60,45,30,0.081,0.4,0
3102,60,45,30,0.081,0.4,2
3103,35,25,25,0.021875,2,1
3104,35,25,25,0.021875,2,2
3105,35,25,25,0.021875,2,5
3106,36,140,5,0.0252,1.395,2
3107,30,80,4,0.0096,0.695,1
3108,12,12,13,0.001872,0.025,3
3109,139,30,50,0.2085,0.433,2
3110,35,15,15,0.007875,0.5,5
3111,30,10,10,0.003,0.2,4
3112,9,9,4,0.000324,0.005,1
3113,28,17,2,0.000952,0.01,1
3114,40,15,22,0.0132,1.5,0
3115,40,18,26,0.01872,1.07,6
3116,40,40,38,0.0608,0.345,2
3117,15,15,5,0.001125,0.1,1
3118,38,29,18,0.019836,0.17,2
3119,39,29,18,0.020358,0.17,3
3120,16,14,4,0.000896,0.04,1
3121,16,14,4,0.000896,0.035,2
3122,17,16,5,0.00136,0.6,1
3123,10,14,2,0.00028,0.01,1
3124,144,10,130,0.1872,2.069,4
3125,56,2,2,0.000224,0.01,1
3126,18,10,10,0.0018,0.015,3
3127,19,27,20,0.01026,0.025,3
3128,70,30,5,0.0105,0.115,1
3129,2,55,13,0.00143,8.25,2
3130,26,10,9,0.00234,0.03,1
3131,58,16,2,0.001856,0.01,1
3132,14,12,18,0.003024,0.04,1
3133,16,17,1,0.000272,0.01,3
3134,14,12,18,0.003024,0.045,1
3135,17,8,9,0.001224,0.12,1
3136,15,15,1,0.000225,0.12,1
3137,200,133,20,0.532,28,2
3138,50,20,20,0.02,1.1,3
3139,41,20,16,0.01312,1.055,0
3140,60,28,29,0.04872,3,3
3141,40,30,15,0.018,1.11,0
3142,37,33,17,0.020757,0.115,0
3143,40,30,15,0.018,1.2,0
3144,28,28,1,0.000784,0.01,3
