code,lenght (cm),width (cm),height (cm),volum (m3),weight (kg),inventory (units)
167,23,19,4,0.001748,0.15,0
168,23,19,3,0.001311,8.15,6
169,24,19,4,0.001824,0.25,15
170,53,26,3,0.004134,0.15,1
171,7,7,7,0.000343,0.15,0
172,6,9,5,0.00027,0.3,6
173,8,8,4,0.000256,0.3,1
174,8,10,5,0.0004,0.35,2
175,8,8,9,0.000576,0.35,5
176,14,9,8,0.001008,0.35,0
177,14,9,9,0.001134,0.3,5
178,7,7,6,0.000294,0.3,2
179,14,8,9,0.001008,0.5,2
180,14,8,9,0.001008,0.35,1
181,8,8,6,0.000384,0.25,2
182,8,8,4,0.000256,0.2,5
183,9,9,4,0.000324,0.25,1
184,8,8,6,0.000384,0.25,5
185,8,8,6,0.000384,0.4,1
186,32,35,7,0.00784,0.8,1
187,7,6,7,0.000294,0.15,1
188,7,4,2,0.000056,0.1,3
189,21,13,2,0.000546,0.1,5
190,22,8,2,0.000352,0.1,11
191,15,10,2,0.0003,0.1,20
192,15,11,3,0.000495,0.1,4
193,8,9,3,0.000216,0.1,13
194,16,11,5,0.00088,0.1,13
195,14,11,4,0.000616,0.1,12
196,10,8,5,0.0004,0.1,2
197,3,3,3,0.000027,0.2,14
198,10,8,2,0.00016,0.01,14
199,5,5,14,0.00035,0.1,2
200,14,5,5,0.00035,0.1,4
201,14,5,5,0.00035,0.1,16
202,14,5,5,0.00035,0.1,6
203,14,5,5,0.00035,0.1,6
204,16,6,5,0.00048,0.1,12
205,14,5,5,0.00035,0.1,2
206,14,5,5,0.00035,0.05,3
207,14,5,5,0.00035,0.1,16
208,5,6,1,0.00003,0.1,8
209,5,4,1,0.00002,0.1,2
210,3,2,2,0.000012,0.1,39
211,11,11,2,0.000242,0.01,26
212,8,4,2,0.000064,0.01,38
213,10,8,5,0.0004,0.1,1
214,50,30,30,0.045,3,4
215,50,30,30,0.045,3,11
216,15,10,5,0.00075,0.1,3
217,15,10,5,0.00075,0.1,1
218,,10,10,0,0.005,1
219,12,10,15,0.0018,0.4,2
220,12,10,15,0.0018,0.4,3
221,10,5,10,0.0005,0.4,11
222,12,10,15,0.0018,0.4,2
223,10,5,5,0.00025,0.2,1
224,10,5,5,0.00025,0.1,7
225,10,10,5,0.0005,0.3,1
226,10,10,5,0.0005,0.3,1
227,60,40,10,0.024,6.3,1
228,60,40,10,0.024,6.3,12
229,60,40,10,0.024,6.3,6
230,51,10,8,0.00408,2.2,0
231,50,10,10,0.005,2.2,6
232,107,12,70,0.08988,3.2,2
233,44,23,1,0.001012,0.02,58
234,44,14,2,0.001232,0.01,336
235,32,25,14,0.0112,1.8,0
236,85,40,10,0.034,4,0
237,31,17,21,0.011067,1.9,1
238,6,7,7,0.000294,0.01,18
239,6,7,7,0.000294,0.01,20
240,24,16,16,0.006144,1.36,1
241,10,10,10,0.001,0.1,0
242,8,7,7,0.000392,0.03,10
243,56,28,1,0.001568,0.05,82
244,10,5,5,0.00025,0.2,0
245,6,4,4,0.000096,0.005,17
246,14,9,5,0.00063,0.035,20
247,10,8,7,0.00056,0.035,14
248,15,10,5,0.00075,0.1,9
249,5,5,16,0.0004,0.1,10
250,6,16,10,0.00096,0.055,28
251,16,14,12,0.002688,0.125,6
252,50,30,5,0.0075,0.7,77
253,45,14,1,0.00063,0.01,11
254,29,16,8,0.003712,0.02,0
255,29,16,9,0.004176,0.25,17
256,39,21,8,0.006552,0.15,0
257,68,50,3,0.0102,0.35,66
258,52,25,4,0.0052,2,28
259,12,10,15,0.0018,0.4,0
260,28,14,17,0.006664,0.105,53
261,8,30,30,0.0072,0.485,39
262,8,8,5,0.00032,0.1,0
263,16,9,9,0.001296,0.02,133
264,15,5,5,0.000375,0.2,0
265,15,10,5,0.00075,0.1,0
266,17,13,3,0.000663,0.025,164
267,30,30,7,0.0063,0.44,12
268,8,8,2,0.000128,0.005,13
269,8,8,4,0.000256,0.2,2
270,8,8,4,0.000256,0.2,2
271,5,9,6,0.00027,0.005,49
